8.446812343969e-01,-6.690072344526e-01,-8.063055473777e-01,-1.195722447338e+00,2.111005940994e-02,8.490303919894e-02,1.695668567082e+00,-4.131648355348e-01,-6.863227881757e-02,7.608581990138e-01,-1.811509095273e-01,8.369372653114e-01,-6.161152967049e-01,1.483338523954e-01,9.321453533391e-01,2.972348249949e-01,-2.969681726361e-01,-7.040214526070e-02,-2.366426353480e-01,-6.421477765970e-02,-2.579814450511e-03,5.073100290929e-03,2.688129210285e-03,-6.497703253330e-03,-2.279739069837e-03,-1.502010573319e-02,-4.719987903238e-03,1.627151891666e-02,1.172917941739e-02,1.112416584841e-04,5.848087866952e-03,-2.621369332486e-03,3.186679638314e-03,2.063885040212e-03,-6.277670110358e-03,8.310613029523e-04,4.699463912888e-04,-2.214507213274e-02,2.701416673146e-02,5.094643326961e-03
6.252837716536e-01,3.694059547900e-01,-3.543440149031e-01,6.944010509967e-01,1.620949198658e+00,-8.037327010010e-01,3.147652713233e-01,7.492784111979e-02,-8.954770325773e-01,-1.106758633481e-02,1.169023731912e+00,-2.198521188993e-01,2.978084471315e-01,6.292791847889e-01,-1.211689916558e+00,6.027277635902e-01,4.451144230845e-01,2.898357592880e-01,5.051409223353e-01,6.032738826389e-01,-1.430235907599e-02,2.195724357451e-02,-3.829595336550e-03,-7.506398616406e-03,-3.757058974637e-03,1.031058710671e-02,1.663032542740e-03,-4.031973272616e-04,7.204826313148e-03,-1.396013833859e-02,1.819245897095e-02,3.502264047473e-03,2.032478801825e-03,-9.087296905236e-04,1.545564432497e-02,-8.748693144938e-03,-4.149803898606e-03,-5.186955465534e-03,-2.294717132594e-02,-9.221546308205e-03
1.418031340127e+00,-1.405152368567e+00,-2.750418619120e-01,1.255480464821e+00,5.755323627939e-01,-3.533388428647e-01,1.034310232454e+00,-3.657731197929e-01,9.587777045877e-01,9.588813523686e-01,-4.737267527853e-01,-5.882001368742e-01,-4.785470978229e-01,5.402381094806e-01,6.525592346922e-01,-2.403053193738e-01,4.314234339559e-01,-1.880103598968e-01,-6.855036086627e-01,4.262938722179e-01,9.324633037392e-04,-3.554034725508e-03,7.692587257172e-03,-1.539061061998e-02,1.157740429824e-02,-8.609631123546e-03,1.673163562875e-02,8.472830277423e-03,-2.919307571780e-03,-7.236255953692e-03,-1.334943781903e-02,5.513646948889e-03,-4.826594183332e-03,-2.349202339829e-03,-3.339299013691e-03,5.168010641979e-03,-7.206000557298e-03,1.424843618518e-02,7.652890068269e-03,8.872651925382e-03
3.673171988810e-01,7.811944415308e-01,6.182996799833e-01,1.347267702828e+00,-2.172947729538e+00,-1.776722916943e+00,7.533589847380e-01,7.774510127981e-01,9.402629911009e-01,-2.734040292745e-01,-8.961316095958e-01,-4.275713573986e-01,3.930525769556e-01,8.120432418746e-01,-3.089625417852e-01,7.260636667661e-01,2.600379017476e-01,-5.345728316969e-01,4.211102471986e-01,-7.360821054888e-02,5.094383430959e-03,-7.471577627976e-03,1.074391973842e-02,-1.092382763116e-02,-8.670552674879e-04,-1.369167900904e-02,-1.714810251887e-02,-1.954288356728e-02,-7.198531509844e-03,-1.031274411210e-02,3.409927445527e-03,-1.614296292868e-02,3.460523039566e-03,2.515837817969e-03,-7.147143820670e-03,-1.890013440369e-02,2.362717029779e-03,7.191616944497e-03,-3.581383005386e-02,-6.554027763022e-03
-2.988295618034e-01,1.473762687001e-01,-2.653009210541e-01,-4.829698121725e-01,2.916852183554e-01,-1.882911561702e+00,-1.531698354585e-01,-8.399298443912e-01,7.967018088960e-02,4.364540041959e-01,-4.162679740255e-01,-2.159999104750e-01,9.411019957193e-01,-3.952494139761e-05,6.640878937409e-01,7.999510781131e-02,1.113747316802e+00,5.416205461302e-01,-2.489053655378e-02,8.585957784055e-01,-7.045079059333e-03,-1.123254263502e-02,-4.737707477507e-03,-9.756646619821e-03,-7.374689161546e-03,-2.285019094128e-04,1.503671497405e-02,-6.752900148254e-03,8.648510599084e-03,4.052886033192e-03,-4.692954163793e-03,1.132714919497e-02,-2.267380799517e-02,-3.146414209499e-03,-5.423924392435e-03,1.814843725452e-02,-2.535539154050e-02,-8.462544174421e-03,1.465065737195e-02,9.939435583453e-04
-9.596282065885e-01,2.369938434770e-01,-7.600456998184e-01,1.087080726893e+00,-1.449597993379e-01,-1.203704633597e+00,1.298988073166e+00,2.151939919330e-01,1.196107298611e+00,9.523632813739e-01,-5.293694362425e-01,-2.051894063990e-01,-1.743372876998e-01,7.909369159894e-01,-3.825498837382e-01,-1.823493358950e-01,6.245498290973e-01,-4.209470778024e-01,-6.420818884518e-01,2.332308952244e-01,4.098806918484e-03,-1.392399380607e-02,-3.360735543666e-03,9.933254072749e-03,8.853598397055e-03,3.790760730376e-03,-4.435263721745e-04,-1.957127513418e-03,-5.546709687465e-04,2.326326105766e-02,-1.027289044872e-02,1.278470018412e-02,-9.176769907716e-03,5.530091448008e-03,-1.063498543799e-02,1.062428659979e-02,3.938015887633e-02,1.023352666205e-02,5.892069100790e-03,-1.629502774081e-02
4.807538954537e-01,1.894761509245e+00,-1.450126613445e-01,8.711515228653e-01,-9.326112281083e-01,-4.084842707269e-01,-1.496298889234e-01,3.327437033114e-01,-1.333704892689e+00,-6.941070720821e-01,1.875614447310e-01,-2.263095072430e+00,7.147862160387e-01,-2.793678604951e-01,-1.165922784253e+00,-7.716437923386e-01,3.388376373023e-01,8.029383330992e-01,5.771432422595e-01,-3.588303816726e-01,1.758415490282e-02,-2.091344594030e-02,1.430320292561e-02,1.443993484417e-02,-2.133285074084e-03,1.707147128118e-03,1.031277003281e-02,-1.037285857219e-02,7.317597901227e-03,1.525199583154e-03,2.055742993062e-02,1.518716869843e-05,2.294713033369e-02,5.389262037945e-03,5.315449946633e-03,-5.260498083900e-03,-9.246709044747e-03,9.254486951070e-04,-2.320530914509e-03,1.369755854068e-02
1.003921552422e+00,1.466394497422e+00,-1.839976798940e+00,-8.674681168221e-02,2.358178473949e-02,7.516391818032e-01,2.482883373858e+00,3.800209627973e-01,3.851728859103e-01,-8.740895471941e-01,6.983907298702e-01,-9.338062994267e-01,-4.315441980038e-01,3.687614626780e-02,-1.404434450412e+00,-7.107298737202e-01,7.055975317477e-01,1.564224659008e-01,-4.367536603391e-01,-3.013555743202e-01,2.952154055050e-04,-1.983171291100e-03,9.947711295205e-03,-3.544671175564e-03,-1.695117500645e-02,-4.078627884297e-03,3.772315635687e-03,-1.830278166634e-02,-1.251371750536e-02,-9.087704683090e-03,-5.150917593561e-04,1.699930027188e-02,-1.504864842960e-02,8.302247303059e-04,8.003453144760e-03,1.571313578400e-02,-1.661045043996e-02,3.081319442486e-03,2.886744639232e-03,-5.855464761390e-03
1.290785725737e+00,-9.433048458431e-02,6.245079965025e-01,-1.310122373375e+00,1.070062395154e-01,2.313663253313e-01,-9.140970182712e-01,4.455512968943e-02,9.880267323885e-01,-4.181519455874e-01,1.000004647956e+00,-8.630178816584e-01,-1.990409620864e-01,8.640215183883e-01,-7.386430204668e-01,-2.551445318950e-01,3.414271265757e-01,4.072387267899e-01,-3.899726069654e-01,-2.979358775789e-01,-1.836399803298e-02,-1.165616792021e-02,1.020695425168e-02,7.913540301519e-03,-2.291997815555e-02,-7.951697587214e-03,2.051039259398e-02,2.182098552029e-02,-5.055851306483e-03,1.053486377295e-02,5.765256430649e-03,1.751516876410e-02,-2.406017111006e-02,-2.012924995750e-02,1.175467547615e-03,2.537077771122e-04,-7.514599880526e-04,-8.145372365821e-03,-1.218813420705e-02,3.140482207147e-03
-3.807802896584e-01,-2.206432556769e-01,-1.924111903054e-01,-1.027014171846e+00,1.139571304353e-01,-7.120427054722e-01,1.613954692872e-01,-1.436553908445e-01,8.809642693992e-01,-8.607849573832e-02,-2.653127535636e-01,-1.271479432543e+00,-4.524999944725e-01,6.410221933288e-01,2.194172340816e-01,-5.414064649535e-01,-1.009127052297e+00,-9.412077852500e-01,-8.532181779285e-01,1.044251282016e-02,1.318996879231e-02,1.459451444465e-02,4.449529005778e-03,-7.141105881824e-03,-2.411800092067e-03,-4.070009698589e-03,6.439787457889e-03,6.635366043439e-03,-1.717110829755e-02,9.161412817858e-04,-2.241405237896e-03,-1.937641403106e-02,-8.770467791285e-03,-1.670844162872e-02,-1.468020776410e-02,1.527543823996e-02,-7.174543364480e-03,-1.065225079577e-02,-4.252205542256e-03,3.570684026283e-03
