-2.428947471919e-01,5.205216723951e-01,2.159397067990e+00,-7.822152104741e-01,-6.985801355780e-01,-3.092904000661e-01,-7.574798957560e-02,4.293337866704e-01,1.612010532031e-01,-5.716197803072e-02
-5.105451711286e-01,1.330363677584e-01,2.070779285631e-01,1.497654173149e-01,-5.912379132100e-01,1.144674589628e+00,-4.417848645131e-01,1.532471495870e+00,9.983489051846e-01,5.842563047771e-01
3.164181053255e-01,-7.969628390626e-02,1.477196855477e+00,-4.438811595583e-01,3.973656622775e-01,1.235195697611e+00,-2.074259248875e-01,-1.115730593264e+00,-3.092081316274e+00,1.511274334446e+00
-1.051156974648e+00,-1.128796075635e+00,5.849085343454e-01,1.839892928529e+00,1.409982510646e-01,-8.183035870764e-02,3.759116628121e-01,4.601259672250e-01,1.306161543206e+00,7.464448443400e-01
1.614183139880e+00,-7.091667028960e-01,-3.124099153480e-01,-8.143311912781e-01,-2.149912464542e-01,-8.989796161276e-01,1.542992144414e-01,-2.788613013591e-01,2.694318150975e-01,5.332599109731e-01
-2.208044914610e+00,-4.177770918015e-01,-6.096888759893e-01,-5.798309201325e-01,-6.360671341268e-01,4.961358722131e-01,4.193792188640e-01,4.852618930867e-01,-6.790742307679e-01,6.974322991777e-01
1.168124322655e+00,-5.397399327520e-01,9.411144863506e-01,-5.492403069477e-01,1.749915069051e-01,1.217769208710e+00,-5.149747899717e-01,9.290319125744e-01,4.106316480698e-01,-2.895177095381e-01
1.305134104123e+00,-1.017432081719e+00,1.645512281625e-01,7.044851484356e-01,1.625283496342e+00,8.823391203082e-01,-9.990105688655e-01,-5.007386489381e-01,-2.228708781385e-01,4.395348118558e-01
2.627930052548e-01,1.757217249140e+00,-1.983868851624e+00,-6.673740914521e-01,-2.991163045559e+00,6.119967302850e-01,-1.043902875549e+00,4.725782888924e-01,-7.180884398246e-01,6.230550005725e-01
7.937572141301e-01,-2.196428985981e-02,-1.576277091989e+00,6.195152983213e-02,-9.551627317700e-01,1.009808225116e+00,-1.496181188076e+00,-3.858971777063e-01,2.061563454647e+00,1.339855563942e+00
1.639870030455e-01,2.739203336821e-01,4.230717939690e-02,-8.475347358107e-02,1.405623246579e-01,6.920860810526e-01,3.049134839568e-01,9.677953834252e-01,-2.325304996018e-01,2.745498452491e-02
-1.476402305451e+00,-7.408485564636e-01,5.554838046094e-01,1.765191264286e-01,-8.369650980463e-01,-5.542993206601e-01,4.050562832489e-01,-2.621467774590e-01,1.001722201504e+00,6.870574595081e-02
2.240637514741e+00,7.123277195588e-01,-1.596072097713e+00,1.297191905202e+00,4.049217682809e-01,6.701537058637e-01,5.405326158167e-01,-5.338043154501e-01,3.132350176460e-01,1.920423328382e-01
