-2.428947470304e-01,5.205216724144e-01,-2.159397067992e+00,-7.822152104086e-01,-6.985801356089e-01,-3.092904000599e-01,7.574798957162e-02,4.293337857226e-01,-1.612010565020e-01,5.716197764733e-02
-5.105451712977e-01,1.330363675119e-01,-2.070779285837e-01,1.497654176443e-01,-5.912379125911e-01,1.144674589635e+00,4.417848645251e-01,1.532471489470e+00,-9.983489153723e-01,-5.842563049712e-01
3.164181055762e-01,-7.969628310638e-02,-1.477196855468e+00,-4.438811601799e-01,3.973656620979e-01,1.235195697626e+00,2.074259248881e-01,-1.115730573379e+00,3.092081323137e+00,-1.511274334355e+00
-1.051156975097e+00,-1.128796075959e+00,-5.849085342012e-01,1.839892928950e+00,1.409982518626e-01,-8.183035871361e-02,-3.759116628233e-01,4.601259588595e-01,-1.306161545219e+00,-7.464448441594e-01
1.614183139851e+00,-7.091667029849e-01,3.124099153397e-01,-8.143311913229e-01,-2.149912461712e-01,-8.989796161242e-01,-1.542992144395e-01,-2.788613031109e-01,-2.694318131435e-01,-5.332599112261e-01
-2.208044914938e+00,-4.177770915044e-01,6.096888759195e-01,-5.798309203869e-01,-6.360671340451e-01,4.961358722129e-01,-4.193792188566e-01,4.852618975836e-01,6.790742275869e-01,-6.974322992290e-01
1.168124322273e+00,-5.397399328817e-01,-9.411144862912e-01,-5.492403069062e-01,1.749915068330e-01,1.217769208707e+00,5.149747899589e-01,9.290319099109e-01,-4.106316537758e-01,2.895177095665e-01
1.305134103790e+00,-1.017432081800e+00,-1.645512281174e-01,7.044851485822e-01,1.625283496598e+00,8.823391203042e-01,9.990105688519e-01,-5.007386476581e-01,2.228708825724e-01,-4.395348111088e-01
2.627930052506e-01,1.757217249240e+00,1.983868851479e+00,-6.673740916101e-01,-2.991163045401e+00,6.119967302802e-01,1.043902875564e+00,4.725782933696e-01,7.180884353230e-01,-6.230550019445e-01
7.937572139276e-01,-2.196429018290e-02,1.576277092010e+00,6.195153008457e-02,-9.551627305949e-01,1.009808225114e+00,1.496181188066e+00,-3.858971907488e-01,-2.061563452707e+00,-1.339855564470e+00
1.639870030240e-01,2.739203336709e-01,-4.230717937391e-02,-8.475347368521e-02,1.405623245661e-01,6.920860810476e-01,-3.049134839614e-01,9.677953848527e-01,2.325304934655e-01,-2.745498448266e-02
-1.476402305357e+00,-7.408485565899e-01,-5.554838046678e-01,1.765191266559e-01,-8.369650977567e-01,-5.542993206477e-01,-4.050562832297e-01,-2.621467837479e-01,-1.001722200083e+00,-6.870574621578e-02
2.240637514912e+00,7.123277196525e-01,1.596072097874e+00,1.297191905037e+00,4.049217683984e-01,6.701537058616e-01,-5.405326158218e-01,-5.338043172960e-01,-3.132350142074e-01,-1.920423329310e-01
6.037378062717e-01,-1.459583982765e+00,-1.895137894006e+00,-3.715825577410e-01,-1.457514516221e-01,-1.112611508611e+00,-1.547818171871e+00,-2.746290317216e-02,-4.210082557963e-01,8.187390589897e-02
1.152050680710e+00,-9.192898140438e-01,9.587484306924e-01,1.366921160120e-01,-1.614392704872e+00,1.764107804964e+00,-3.305054943261e-01,2.063477366990e-01,2.938791054575e-01,7.148150231835e-01
